individual_code,landscape,treatment,data,species,n_individuals,obs
P1F1I4,1,forest1,23-27/05/2023,Euterpe_edulis,7,
P1F1I5,1,forest1,23-27/05/2023,Euterpe_edulis,7,
P1F1I6,1,forest1,23-27/05/2023,Euterpe_edulis,2.5,média
P1F1I8,1,forest1,23-27/05/2023,Euterpe_edulis,6.5,média
P1F1I9,1,forest1,24-27/05/2023,Euterpe_edulis,1,
P1F2I10,1,forest2,5/30/2023,Euterpe_edulis,2,
P1F2I3,1,forest2,5/30/2023,Euterpe_edulis,1,
P1F2I6,1,forest2,24-30/05/2023,Euterpe_edulis,2,média
P1F2I7,1,forest2,24-30/05/2023,Euterpe_edulis,7,média
P1F2I7,1,forest2,5/30/2023,Virola_sp,2,
P1F2I7,1,forest2,5/30/2023,Cecroia_sp,2,
P1F2I8,1,forest2,5/24/2023,Euterpe_edulis,3.5,média
P1F2I9,1,forest2,5/25/2023,Euterpe_edulis,3,média
P1R1I1,1,restoration,5/26/2023,Euterpe_edulis,1,
P1R1I1,1,restoration,5/26/2023,aroeira,2,
P1R1I2,1,restoration,5/26/2023,Euterpe_edulis,3,
P1R1I2,1,restoration,5/26/2023,Threma,2,
P1R1I2,1,restoration,5/26/2023,Cecroia_sp,2,
P1R1I3,1,restoration,5/26/2023,Euterpe_edulis,1,
P1R1I3,1,restoration,5/26/2023,Cecroia_sp,2,
P1R1I5,1,restoration,5/26/2023,Euterpe_edulis,1,
P1R1I5,1,restoration,5/26/2023,Cecroia_sp,6,
P1R1I6,1,restoration,5/26/2023,Euterpe_edulis,1,
P1R1I6,1,restoration,5/26/2023,aroeira,2,
P1S1I1,1,saf1,5/27/2023,Euterpe_edulis,7,
P1S1I1,1,saf1,5/27/2023,erva_de_passarinho,2,
P1S1I1,1,saf1,5/27/2023,Threma,2,
P1S1I2,1,saf1,23-27/05/2023,Euterpe_edulis,9,média
P1S1I2,1,saf1,5/27/2023,Euterpe_oleracea,3,
P1S1I2,1,saf1,5/27/2023,Annonnaceae,2,
P1S1I3,1,saf1,5/27/2023,Euterpe_edulis,6,
P1S1I5,1,saf1,23-27/05/2023,Euterpe_edulis,8.5,média
P1S1I5,1,saf1,5/27/2023,Euterpe_oleracea,2,
P1S1I8,1,saf1,5/27/2023,Euterpe_edulis,8,média
P1S2I1,1,saf2,25-1/05/2023,Euterpe_edulis,1,
P1S2I2,1,saf2,25-1/05/2023,Euterpe_edulis,1,
P1S2I3,1,saf2,5/26/2023,Euterpe_edulis,2,
P1S2I4,1,saf2,5/26/2023,Euterpe_edulis,3,
P1S2I4,1,saf2,5/26/2023,aroeira,2,
P1S2I5,1,saf2,5/26/2023,Euterpe_edulis,2,